Country,City,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,SO2,Continent
Liberia,Bensonville,Moderate,1,18,0,56,0,Africa
United States of America,Bethel Park,Good,1,44,4,36,8,North America
Poland,Bielawa,Moderate,1,21,4,69,1,Europe
Italy,Biella,Moderate,1,40,2,90,1,Europe
United States of America,Big Spring,Moderate,1,30,1,61,2,North America
United States of America,Bound Brook,Moderate,2,14,20,64,4,North America
United Kingdom,Broadstairs,Good,0,35,1,41,1,Europe
Nicaragua,Somotillo,Moderate,2,3,7,77,1,North America
India,Soro,Moderate,2,51,0,97,5,Asia
Russian Federation,Sosenskiy,Good,1,34,0,34,0,Europe
United States of America,South Lyon,Moderate,2,23,14,87,1,North America
United States of America,South River,Moderate,2,27,11,55,5,North America
Germany,Stadtallendorf,Moderate,2,34,7,72,4,Europe
Russian Federation,Staraya Russa,Good,1,31,0,20,0,Europe
United States of America,Suisun City,Good,1,25,10,50,2,North America
United Republic of Tanzania,Sumbawanga,Good,0,21,0,23,0,Africa
United States of America,Sun Prairie,Good,1,26,4,41,1,North America
United States of America,Upper Arlington,Moderate,2,27,13,74,1,North America
Russian Federation,Usinsk,Good,1,31,0,32,0,Europe
Poland,Ustka,Good,1,25,1,41,0,Europe
Spain,Utiel,Moderate,1,28,2,55,1,Europe
Russian Federation,Uyar,Good,1,32,0,15,1,Europe
United States of America,Valinda,Unhealthy,4,2,34,140,13,North America
Lao People's Democratic Republic,Vientiane,Good,1,26,0,45,1,Asia
Austria,Enns,Moderate,1,39,1,62,1,Europe
India,Erode,Moderate,1,29,1,56,3,Asia
Italy,Este,Moderate,1,36,5,94,1,Europe
United States of America,Ewa Beach,Good,0,26,0,30,0,North America
United States of America,Fallbrook,Moderate,2,0,23,74,2,North America
Brazil,Fartura,Good,1,13,1,32,0,South America
France,Floirac,Moderate,1,38,1,51,1,Europe
United States of America,Florissant,Moderate,2,11,20,88,2,North America
United States of America,Forest Park,Moderate,2,15,19,81,3,North America
United States of America,Forest Park,Moderate,2,15,19,81,3,North America
United States of America,Forest Park,Moderate,2,15,19,81,3,North America
Brazil,Formiga,Good,1,6,3,44,1,South America
Colombia,Espinal,Unhealthy,4,4,7,103,0,South America
Guatemala,Olintepeque,Moderate,3,9,11,94,2,North America
Germany,Olpe,Good,1,27,3,50,1,Europe
Belgium,Opwijk,Good,1,28,4,43,2,Europe
United States of America,Oregon,Good,1,42,6,33,2,North America
United States of America,Oregon,Good,1,42,6,33,2,North America
Russian Federation,Osa,Good,1,35,0,32,0,Europe
Netherlands,Oss,Good,0,32,2,37,1,Europe
United States of America,Oswego,Moderate,2,28,11,54,2,North America
United States of America,Oswego,Moderate,2,28,11,54,2,North America
Brazil,Ouricuri,Good,0,14,0,21,0,South America
Colombia,Ovejas,Moderate,2,1,8,60,0,South America
Germany,Overath,Good,1,24,4,48,2,Europe
Brazil,Pacajus,Good,0,19,1,25,0,South America
Thailand,Pak Phanang,Moderate,2,34,0,69,2,Asia
Mexico,Palau,Moderate,1,20,0,54,1,North America
Italy,Palestrina,Good,1,43,3,30,1,Europe
United States of America,Papillion,Good,1,35,6,47,0,North America
Brazil,Paraipaba,Good,0,21,1,42,0,South America
India,Pattukkottai,Moderate,1,35,0,63,2,Asia
India,Pawai,Unhealthy,1,42,0,196,3,Asia
Brazil,Pedregulho,Good,1,7,2,42,0,South America
Russian Federation,Pestovo,Good,1,34,0,42,0,Europe
Russian Federation,Petrozavodsk,Good,1,28,1,13,1,Europe
Slovakia,Pezinok,Moderate,1,38,2,67,1,Europe
India,Phalodi,Unhealthy,0,34,0,467,2,Asia
United States of America,Pharr,Unhealthy,3,15,6,150,1,North America
United States of America,Philadelphia,Moderate,2,16,19,61,3,North America
United States of America,Pineville,Good,1,15,4,48,1,North America
United States of America,Pineville,Good,1,15,4,48,1,North America
Italia,Piombino,Good,1,40,0,19,1,Europe
Brazil,Piracaia,Unhealthy,3,7,8,102,4,South America
Italy,Pisa,Good,1,39,2,22,1,Europe
France,Ploemeur,Good,1,32,2,31,1,Europe
Russian Federation,Pokrovka,Moderate,1,42,0,58,1,Europe
Ukraine,Polohy,Good,1,40,0,8,0,Europe
България,Pomorie,Good,1,40,0,25,1,Europe
India,Porbandar,Unhealthy,0,23,0,167,1,Asia
