Country,City,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,SO2,Continent
France,Soissons,Good,1,25,2,31,1,Europe
Indonesia,Padalarang,Unhealthy,2,81,1,103,17,Asia
United States of America,Painesville,Good,1,38,4,35,3,North America
United States of America,Bayshore Gardens,Moderate,1,24,13,54,1,North America
Italy,Sulmona,Good,1,43,1,30,1,Europe
Ukraine,Sumy,Moderate,1,31,1,52,0,Europe
France,Bischwiller,Good,1,34,1,28,2,Europe
South Africa,Bloemfontein,Moderate,1,15,4,76,3,Africa
Chad,Bongor,Moderate,2,14,0,57,0,Africa
Canada,Bradford,Good,1,38,1,37,1,North America
Congo,Brazzaville,Unhealthy,5,31,2,115,2,Africa
Thailand,Bua Yai,Moderate,0,25,0,51,1,Asia
Uzbekistan,Buka,Unhealthy,1,46,0,152,1,Asia
Philippines,Bulalacao,Good,1,21,0,44,0,Asia
Italy,Casandrino,Good,1,46,2,18,2,Europe
United States of America,Cedar City,Good,1,30,1,29,0,North America
India,Chandia,Unhealthy,1,42,0,154,4,Asia
China,Changchun,Unhealthy,3,65,4,100,4,Asia
Ukraine,Cherkasy,Good,1,43,0,50,1,Europe
Japan,Chichibu,Good,1,36,2,36,11,Asia
Poland,Choszczno,Good,0,34,1,26,2,Europe
Pakistan,Chunian,Unhealthy,1,56,1,383,3,Asia
United States of America,Conneaut,Good,1,32,6,37,3,North America
United States of America,Corning,Good,1,40,1,32,2,North America
United States of America,Corozal,Moderate,1,24,0,97,0,North America
United States of America,Corozal,Moderate,1,24,0,97,4,North America
United States of America,Corozal,Moderate,1,24,0,97,0,North America
United States of America,Crown Point,Moderate,2,9,25,68,3,North America
United States of America,Cypress,Unhealthy,4,10,29,109,10,North America
Russian Federation,Dagestanskiye Ogni,Moderate,1,35,0,64,0,Europe
United Kingdom of Great Britain and Northern Ireland,Abingdon,Good,1,30,1,32,1,Europe
Russian Federation,Adygeysk,Good,1,40,3,39,1,Europe
Russian Federation,Aginskoye,Unhealthy,5,40,0,111,7,Europe
Japan,Aki,Good,1,43,1,50,4,Asia
Spain,Alcobendas,Good,0,43,0,10,1,Europe
United States of America,Aliso Viejo,Moderate,2,30,7,53,3,North America
South Africa,Allanridge,Moderate,2,21,5,95,3,Africa
Spain,Almonte,Good,1,41,0,21,1,Europe
Spain,Antequera,Good,1,42,0,14,1,Europe
Spain,Antequera,Good,1,42,0,14,1,Europe
France,Anzin,Moderate,1,41,1,54,2,Europe
United States of America,Asheville,Good,1,47,0,7,9,North America
Senegal,Bakel,Unhealthy,1,38,0,168,0,Africa
Thailand,Bang Racham,Moderate,2,17,4,80,2,Asia
Cuba,Baracoa,Moderate,1,40,0,81,4,North America
Venezuela (Bolivarian Republic of),Barinas,Moderate,1,17,0,58,0,South America
Philippines,Batangas,Moderate,2,25,7,72,11,Asia
Russian Federation,Baymak,Moderate,1,36,0,87,1,Europe
United States of America,Berwyn,Moderate,1,29,6,61,0,North America
Central African Republic,Bozoum,Moderate,1,15,0,57,0,Africa
United States of America,Braintree,Good,1,41,1,45,1,North America
United States of America,Braintree,Good,1,41,1,45,0,North America
Germany,Brandenburg,Good,1,43,0,27,1,Europe
Slovakia,Brezno,Moderate,1,45,0,63,2,Europe
Belgium,Brussels,Moderate,1,37,2,53,3,Europe
India,Budaun,Unhealthy,4,31,15,156,0,Asia
Chile,Bulnes,Unhealthy,4,7,8,164,1,South America
Turkey,Burdur,Good,1,45,0,50,2,Asia
China,Cangzhou,Unhealthy,4,91,13,123,7,Asia
Venezuela (Bolivarian Republic of),Caracas,Moderate,1,39,2,66,1,South America
Spain,Cardedeu,Moderate,1,55,1,50,1,Europe
Mexico,Celaya,Moderate,1,31,1,54,3,North America
United States of America,Centreville,Good,1,49,0,36,9,North America
Thailand,Chai Nat,Moderate,1,16,2,62,2,Asia
Venezuela (Bolivarian Republic of),Charallave,Good,1,29,0,48,4,South America
United Kingdom of Great Britain and Northern Ireland,Chichester,Good,1,24,4,37,1,Europe
United Kingdom,Cleethorpes,Good,1,37,1,46,1,Europe
United States of America,Cleveland,Moderate,1,37,3,55,2,North America
United States of America,Cleveland,Moderate,1,37,3,55,3,North America
United States of America,Cleveland,Moderate,1,37,3,55,0,North America
India,Abohar,Unhealthy,2,125,0,162,6,Asia
Spain,Adeje,Good,0,41,0,12,0,Europe
United States of America,Affton,Moderate,1,41,4,52,2,North America
Costa Rica,Alajuela,Moderate,2,1,13,60,0,North America
India,Aliganj,Unhealthy,3,164,2,187,6,Asia
India,Khargone,Unhealthy,2,31,3,153,1,Asia
Ireland,Kilkenny,Moderate,1,40,0,53,2,Europe
Russian Federation,Kireyevsk,Good,1,39,0,22,1,Europe
United States of America,Kirkland,Moderate,1,24,9,56,2,North America
United States of America,Kirkland,Moderate,1,24,9,56,3,North America
United States of America,Kirkland,Moderate,1,24,9,56,2,North America
Austria,Klagenfurt,Moderate,1,43,0,61,0,Europe
Burkina Faso,Kongoussi,Moderate,1,37,0,80,0,Africa
Nigeria,Kontagora,Moderate,2,38,0,69,1,Africa
Malaysia,Kota Kinabalu,Good,2,14,3,47,1,Asia
Russian Federation,Krasnyy Sulin,Good,1,46,0,25,1,Europe
Germany,Krefeld,Moderate,1,40,1,52,4,Europe
France,Landerneau,Good,1,37,2,37,1,Europe
United States of America,Layton,Good,1,35,3,48,1,North America
France,Le Raincy,Moderate,1,45,1,69,2,Europe
Netherlands,Leiden,Good,1,38,1,32,2,Europe
United Kingdom of Great Britain and Northern Ireland,Lichfield,Good,1,31,1,35,1,Europe
United States of America,Little Rock,Moderate,2,42,5,68,1,North America
Germany,Loxstedt,Good,0,39,0,27,1,Europe
Italy,Lucera,Moderate,1,59,0,53,1,Europe
Italy,Mariano Comense,Moderate,1,58,0,97,1,Europe
United Republic of Tanzania,Mbeya,Good,0,21,0,16,1,Africa
Germany,Meinerzhagen,Moderate,1,45,0,54,4,Europe
Japan,Misato,Moderate,1,26,18,79,8,Asia
Japan,Misato,Moderate,1,26,18,79,8,Asia
Japan,Misato,Moderate,1,26,18,79,8,Asia
Italy,Misilmeri,Moderate,1,51,0,59,7,Europe
United Republic of Tanzania,Mlimba,Good,0,19,0,21,1,Africa
Italy,Montefiascone,Moderate,1,78,0,30,1,Europe
Italy,Montelupo Fiorentino,Moderate,1,76,0,41,1,Europe
Morocco,Nador,Good,1,43,0,36,1,Africa
United States of America,Naperville,Moderate,1,37,3,53,2,North America
Benin,Natitingou,Moderate,1,27,0,51,13,Africa
China,Nenjiang,Moderate,3,40,1,90,1,Asia
Cameroon,Nkoteng,Good,1,18,0,44,2,Africa
United States of America,Northfield,Moderate,1,35,2,60,1,North America
United States of America,Northfield,Moderate,1,35,2,60,3,North America
Ghana,Nsawam,Good,1,22,0,28,2,Africa
Russian Federation,Nytva,Good,1,42,0,37,0,Europe
Mexico,Oaxaca,Moderate,1,17,2,60,1,North America
日本,Obama,Moderate,2,21,11,77,6,Asia
France,Oissel,Moderate,1,43,1,58,2,Europe
Congo,Owando,Moderate,2,25,0,60,1,Africa
ประเทศไทย,Pattani,Moderate,1,29,1,96,2,Asia
Brazil,Pederneiras,Moderate,1,26,0,58,1,South America
United States of America,Macon,Moderate,1,74,4,40,2,North America
Burundi,Makamba,Good,1,27,0,39,1,Africa
United States of America,Kings Park,Moderate,1,47,4,57,4,North America
Japan,Koga,Moderate,1,52,2,47,7,Asia
Japan,Koga,Moderate,1,52,2,47,8,Asia
Finland,Kotka,Good,1,35,0,5,1,Europe
Russian Federation,Krasnokamensk,Moderate,2,37,0,78,7,Europe
Russian Federation,Krasnokumskoye,Good,1,43,1,31,1,Europe
Spain,La Solana,Good,0,43,0,10,1,Europe
Russian Federation,Leninogorsk,Good,1,43,0,14,0,Europe
United States of America,Lenoir,Good,1,38,2,17,1,North America
Belgium,Leopoldsburg,Moderate,1,38,1,51,4,Europe
United States of America,Libertyville,Moderate,1,25,5,60,1,North America
Zambia,Luanshya,Good,1,25,0,36,1,Africa
United States of America,Lubbock,Moderate,1,27,2,54,1,North America
United States of America,Lumberton,Good,1,47,1,32,1,North America
United States of America,Lumberton,Good,1,47,1,32,1,North America
United States of America,Lumberton,Good,1,47,1,32,3,North America
United States of America,Macedonia,Moderate,1,39,2,53,2,North America
Kenya,Sirari,Moderate,1,17,0,67,0,Africa
India,Sirsilla,Unhealthy,2,37,8,176,5,Asia
India,Sivagiri,Moderate,1,24,3,65,3,Asia
India,Sivagiri,Moderate,1,24,3,65,3,Asia
Germany,Rosenheim,Moderate,1,64,0,67,1,Europe
Russian Federation,Rossosh,Good,1,40,0,43,0,Europe
Italy,Rutigliano,Moderate,1,54,0,59,1,Europe
India,Sancoale,Moderate,1,19,2,57,1,Asia
Ecuador,Riobamba,Good,0,7,0,20,1,South America
Liberia,Robertsport,Good,1,21,0,18,0,Africa
Italy,Piazza Armerina,Good,1,48,0,40,1,Europe
Canada,Port Hope,Good,1,24,1,44,4,North America
Egypt,Port Said,Moderate,1,80,1,50,1,Africa
Italia,Porto Torres,Good,1,48,0,27,2,Europe
Indonesia,Purwokerto,Unhealthy,9,14,22,178,1,Asia
France,Puteaux,Moderate,1,45,2,69,2,Europe
India,Godda,Unhealthy,3,47,5,136,2,Asia
Brazil,Governador Valadares,Good,0,24,0,27,4,South America
Argentina,Goya,Good,0,20,0,9,2,South America
United States of America,Granite City,Moderate,2,41,7,84,2,North America
Austria,Graz,Moderate,1,47,0,57,1,Europe
United States of America,Greenbelt,Moderate,1,52,1,39,4,North America
Brazil,Guarabira,Good,0,25,0,24,4,South America
Uzbekistan,Guliston,Unhealthy,2,22,8,126,4,Asia
India,Guntakal,Moderate,1,29,3,65,4,Asia
Pakistan,Hala,Unhealthy,1,24,2,157,3,Asia
Japan,Hamamatsu,Moderate,1,33,6,73,46,Asia
Germany,Heinsberg,Moderate,1,39,1,53,4,Europe
Netherlands,Helmond,Good,1,39,1,48,4,Europe
Germany,Hennigsdorf,Good,1,45,0,26,2,Europe
Germany,Herford,Good,1,42,0,43,10,Europe
United States of America,Hopatcong,Moderate,1,43,1,51,4,North America
United States of America,Horsham,Good,1,48,1,42,2,North America
United States of America,Horsham,Good,1,48,1,42,3,North America
United States of America,Horsham,Good,1,48,1,42,1,North America
China,Huaibei,Unhealthy,6,75,18,153,16,Asia
Germany,Illingen,Moderate,1,55,0,63,1,Europe
Russian Federation,Irbit,Good,1,42,1,26,3,Europe
Brazil,Itapipoca,Good,0,23,0,32,0,South America
Russian Federation,Ivangorod,Good,1,35,0,6,0,Europe
Russian Federation,Izhevsk,Good,1,41,1,38,0,Europe
United States of America,Jacksonville Beach,Moderate,2,83,3,29,2,North America
India,Jaspur,Unhealthy,5,20,12,159,1,Asia
China,Jiamusi,Unhealthy,4,30,13,151,3,Asia
Romania,Jilava,Moderate,1,49,0,58,1,Europe
United States of America,Jupiter,Good,1,38,0,19,1,North America
Honduras,Juticalpa,Good,1,21,0,49,0,North America
Russian Federation,Kamenka,Good,1,39,0,46,1,Europe
Turkey,Karaman,Good,0,46,0,45,1,Asia
Sudan,Kassala,Moderate,1,37,0,93,5,Africa
Mali,Kati,Moderate,1,23,0,79,0,Africa
Japan,Kawai,Moderate,1,30,3,57,6,Asia
Indonesia,Kefamenanu,Moderate,1,16,0,70,0,Asia
United States of America,Kentwood,Moderate,1,29,1,51,0,North America
Thailand,Bang Phae,Unhealthy,3,3,11,133,10,Asia
Indonesia,Banyuwangi,Unhealthy,3,19,4,101,4,Asia
Brazil,Barreiras,Good,0,19,0,18,1,South America
China,Beihai,Unhealthy,4,41,6,101,4,Asia
India,Bellary,Moderate,1,24,3,52,3,Asia
Croatia,Bjelovar,Moderate,1,63,0,68,2,Europe
Russian Federation,Bogoroditsk,Good,1,39,0,21,1,Europe
Russian Federation,Bor,Good,1,36,3,30,1,Europe
Russian Federation,Bor,Good,1,36,3,30,6,Europe
Russian Federation,Bor,Good,1,36,3,30,0,Europe
Russian Federation,Bor,Good,1,36,3,30,1,Europe
Republic of North Macedonia,Bosilovo,Moderate,1,46,0,61,2,Europe
South Africa,Bredasdorp,Good,1,22,1,44,1,Africa
Netherlands,Brummen,Good,1,38,0,35,4,Europe
Spain,Calatayud,Good,0,40,0,10,1,Europe
Italy,Campiglia Marittima,Moderate,1,86,0,32,1,Europe
Brazil,Carlos Chagas,Good,0,25,0,26,4,South America
India,Chamba,Moderate,2,40,1,92,1,Asia
Cuba,Chambas,Good,1,32,0,47,2,North America
China,Changde,Unhealthy,6,26,19,150,8,Asia
France,Chaville,Moderate,1,43,2,72,2,Europe
India,Cherrapunji,Moderate,3,12,6,87,3,Asia
Colombia,Circasia,Moderate,1,19,3,83,2,South America
United States of America,Citrus Park,Moderate,1,81,2,13,2,North America
El Salvador,Ciudad Arce,Moderate,1,24,1,69,1,North America
United Kingdom of Great Britain and Northern Ireland,Aberdare,Good,1,30,1,40,1,Europe
Italy,Albano Laziale,Moderate,1,77,0,31,1,Europe
Italy,Anguillara Sabazia,Moderate,1,76,0,29,1,Europe
United States of America,Apple Valley,Moderate,1,35,4,64,1,North America
United States of America,Apple Valley,Moderate,1,35,4,64,1,North America
Greece,Arta,Unhealthy,1,42,0,129,5,Europe
Belgium,Asse,Moderate,1,38,2,52,3,Europe
Japan,Eniwa,Good,1,28,6,45,1,Asia
South Africa,Ermelo,Moderate,1,17,5,52,1,Africa
Russian Federation,Ertil,Good,1,38,0,48,1,Europe
Germany,Eschborn,Moderate,1,62,0,57,3,Europe
Brazil,Estreito,Good,0,20,0,19,0,South America
United States of America,Euless,Moderate,2,37,4,73,2,North America
United Kingdom,Exmouth,Good,1,29,1,37,1,Europe
United Kingdom,Exmouth,Good,1,29,1,37,2,Europe
Portugal,Fafe,Good,0,37,0,15,2,Europe
Turkey,Sorgun,Good,1,44,0,26,1,Asia
United States of America,Speedway,Moderate,1,39,2,56,1,North America
United States of America,State College,Moderate,1,40,1,54,5,North America
Italia,Gaeta,Moderate,1,77,0,40,1,Europe
United Kingdom of Great Britain and Northern Ireland,Gainsborough,Good,1,35,1,43,1,Europe
Germany,Ganderkesee,Good,1,38,0,28,1,Europe
France,Gap,Good,1,38,0,48,1,Europe
Germany,Gengenbach,Moderate,1,57,0,69,2,Europe
Germany,Gernsbach,Moderate,1,60,0,66,3,Europe
Philippines,Davao,Moderate,1,17,1,87,1,Asia
France,Dax,Good,1,40,0,21,1,Europe
Netherlands,Deventer,Good,1,37,0,31,3,Europe
Russian Federation,Drezna,Good,1,38,3,31,3,Europe
Republic of Moldova,Drochia,Moderate,1,51,0,55,1,Europe
Venezuela (Bolivarian Republic of),El Tocuyo,Good,1,21,0,39,0,South America
Germany,Emsdetten,Good,1,40,0,43,3,Europe
United States of America,Coram,Moderate,2,39,9,65,2,North America
Italy,Correggio,Moderate,1,67,0,66,1,Europe
United States of America,Council Bluffs,Good,1,43,2,41,0,North America
Azerbaijan,Saray,Moderate,1,47,0,81,3,Asia
Azerbaijan,Saray,Moderate,1,47,0,81,2,Asia
Germany,Schwelm,Moderate,1,44,1,54,4,Europe
Brazil,Serrinha,Good,0,23,0,19,4,South America
United States of America,Severn,Good,1,44,3,48,2,North America
United States of America,Severn,Good,1,44,3,48,2,North America
Italy,Imola,Moderate,1,37,2,76,1,Europe
Japan,Inuyama,Good,1,47,1,38,5,Asia
Brazil,Itacoatiara,Good,0,7,0,21,2,South America
Japan,Kakuda,Good,1,41,1,40,2,Asia
Pakistan,Kalat,Unhealthy,0,43,0,148,0,Asia
Switzerland,Hinwil,Good,1,35,2,41,1,Europe
India,Khed Brahma,Unhealthy,1,35,0,182,5,Asia
Germany,Kirchlinteln,Good,0,33,1,13,2,Europe
United States of America,Shenandoah,Good,1,22,4,44,1,North America
Thailand,Si Satchanalai,Moderate,1,17,1,62,2,Asia
Guinea,Siguiri,Moderate,1,21,0,56,0,Africa
India,Sirmaur,Unhealthy,3,96,4,171,5,Asia
United States of America,Lake Shore,Moderate,1,48,3,55,2,North America
Russian Federation,Skovorodino,Unhealthy,8,25,9,214,2,Europe
Serbia,Smederevska Palanka,Moderate,1,59,0,58,5,Europe
Germany,Langen,Moderate,1,42,2,62,2,Europe
Germany,Langen,Moderate,1,42,2,62,1,Europe
Philippines,Laoag,Good,0,28,0,26,1,Asia
Mexico,Laredo,Unhealthy,2,20,2,119,0,North America
Mexico,Laredo,Unhealthy,2,20,2,119,2,North America
Germany,Leonberg,Moderate,1,33,6,52,1,Europe
Italy,Leverano,Moderate,1,58,1,49,2,Europe
India,Narwar,Unhealthy,3,90,2,162,5,Asia
Russian Federation,Nevyansk,Good,1,41,1,21,0,Europe
United States of America,New Philadelphia,Good,1,38,2,44,5,North America
New Zealand,New Plymouth,Moderate,0,30,0,58,2,Oceania
Germany,Nidda,Moderate,1,53,0,58,1,Europe
Burkina Faso,Nouna,Moderate,1,29,0,69,13,Africa
Brazil,Nova Prata,Good,0,18,0,24,1,South America
Russian Federation,Novokuznetsk,Good,1,21,13,46,2,Europe
Cuba,Nuevitas,Moderate,1,28,0,62,2,North America
Japan,Obihiro,Good,1,21,4,47,0,Asia
Germany,Oerlinghausen,Good,1,43,0,48,10,Europe
United States of America,Oil City,Moderate,1,36,1,54,1,North America
Netherlands,Oisterwijk,Good,1,40,1,42,2,Europe
Germany,Erlensee,Moderate,1,59,0,58,2,Europe
United States of America,Escondido,Moderate,2,15,14,64,2,North America
Mexico,Ezequiel Montes,Good,1,28,0,40,0,North America
United States of America,Fair Oaks,Good,1,28,6,50,2,North America
United States of America,Fair Oaks,Good,1,28,6,50,0,North America
United States of America,Fair Oaks,Good,1,28,6,50,2,North America
United States of America,Fairview Shores,Moderate,1,96,1,21,1,North America
United States of America,Freeport,Good,1,40,1,43,2,North America
United States of America,Freeport,Good,1,40,1,43,1,North America
United States of America,Freeport,Good,1,40,1,43,1,North America
United States of America,Freeport,Good,1,40,1,43,1,North America
United States of America,Freeport,Good,1,40,1,43,2,North America
China,Fujin,Unhealthy,3,27,5,101,4,Asia
Japan,Fukagawa,Moderate,1,29,4,56,1,Asia
Germany,Gardelegen,Good,1,45,0,26,1,Europe
Israel,Gedera,Moderate,1,46,5,75,2,Asia
Spain,Getafe,Good,1,42,0,10,1,Europe
Spain,Getafe,Good,1,42,0,10,1,Europe
United States of America,Dallas,Moderate,2,34,5,70,1,North America
United States of America,Dallas,Moderate,2,34,5,70,2,North America
United States of America,Dallas,Moderate,2,34,5,70,1,North America
United States of America,Dallas,Moderate,2,34,5,70,1,North America
Russian Federation,Dmitrov,Good,1,35,1,18,3,Europe
Germany,Donaueschingen,Moderate,1,51,0,61,1,Europe
United Kingdom of Great Britain and Northern Ireland,Droylsden,Good,1,37,1,38,2,Europe
China,Ducheng,Moderate,4,27,7,88,2,Asia
United States of America,East Chicago,Moderate,1,33,5,58,2,North America
Hungary,Eger,Moderate,1,52,0,64,1,Europe
United States of America,Rancho Cordova,Moderate,1,26,7,51,1,North America
India,Raurkela,Unhealthy,3,45,3,158,12,Asia
Italy,Recanati,Moderate,1,66,0,77,1,Europe
China,Renqiu,Unhealthy,4,39,21,141,6,Asia
Republic of Moldova,Rezina,Moderate,1,50,0,55,1,Europe
United States of America,Richfield,Good,1,28,1,50,1,North America
United States of America,Richfield,Good,1,28,1,50,2,North America
Philippines,Placer,Good,1,23,0,32,1,Asia
Philippines,Placer,Good,1,23,0,32,1,Asia
Spain,Pozoblanco,Good,1,40,0,11,1,Europe
China,Qingyuan,Unhealthy,4,10,19,153,7,Asia
China,Qingyuan,Unhealthy,4,10,19,153,10,Asia
Israel,Qiryat Ono,Moderate,1,46,5,74,2,Asia
Germany,Quedlinburg,Good,1,44,0,47,1,Europe
South Africa,Queenstown,Good,1,11,2,45,1,Africa
South Africa,Queenstown,Good,1,11,2,45,0,Africa
Azerbaijan,Qusar,Moderate,1,33,0,76,2,Asia
United States of America,Ontario,Unhealthy,4,13,23,138,1,North America
United States of America,Ontario,Unhealthy,4,13,23,138,1,North America
United States of America,Ontario,Unhealthy,4,13,23,138,2,North America
Spain,Orihuela,Good,1,39,0,38,1,Europe
Germany,Ottobrunn,Moderate,1,65,0,68,1,Europe
United States of America,Palestine,Good,1,21,3,35,1,North America
United States of America,Palm City,Good,1,36,1,17,1,North America
United States of America,Palmer,Good,1,38,2,48,4,North America
United States of America,Palmer,Good,1,38,2,48,4,North America
Pakistan,Pattoki,Unhealthy,4,85,7,174,9,Asia
India,Pedana,Unhealthy,2,36,7,137,13,Asia
Russian Federation,Petrov Val,Good,1,46,0,15,0,Europe
India,Banda,Unhealthy,4,169,1,167,4,Asia
Colombia,Barbosa,Moderate,2,0,4,59,2,South America
Colombia,Barbosa,Moderate,2,0,4,59,0,South America
Brazil,Barra Mansa,Unhealthy,3,4,8,113,8,South America
Japan,Ashikaga,Moderate,1,67,1,63,4,Asia
Italy,Atessa,Good,1,45,1,31,1,Europe
United States of America,Atlantic Beach,Moderate,1,30,7,63,2,North America
Romania,Avrig,Good,1,39,0,32,1,Europe
Germany,Bad Wildungen,Moderate,1,33,6,68,3,Europe
Mexico,Altepexi,Moderate,2,17,5,73,2,North America
Indonesia,Ambon,Good,0,14,0,27,0,Asia
Brazil,Americana,Moderate,2,5,4,57,2,South America
Peru,Andahuaylas,Good,1,2,2,26,1,South America
Turkey,Solhan,Moderate,0,40,0,53,0,Asia
Germany,Stuhr,Good,0,40,0,27,1,Europe
Russian Federation,Uvarovo,Good,1,35,0,47,1,Europe
Bolivia (Plurinational State of),Uyuni,Good,0,10,0,12,2,South America
Russian Federation,Velikiy Novgorod,Good,1,34,0,15,0,Europe
France,Vichy,Moderate,1,31,1,53,0,Europe
Philippines,Tubod,Good,1,15,0,26,1,Asia
Philippines,Tubod,Good,1,15,0,26,1,Asia
China,Tumen,Moderate,2,49,0,69,0,Asia
Belgium,Evergem,Good,1,31,3,40,2,Europe
Tajikistan,Farkhor,Moderate,1,44,0,84,0,Asia
United States of America,Fergus Falls,Good,1,30,3,33,0,North America
Italy,Erice,Moderate,1,58,0,48,7,Europe
Serbia,Kraljevo,Moderate,1,43,0,66,3,Europe
Malaysia,Kuantan,Moderate,1,38,0,86,2,Asia
Japan,Kurashiki,Moderate,2,37,3,58,4,Asia
Japan,Kusatsu,Moderate,1,38,3,51,5,Asia
Russian Federation,Kyzyl,Good,1,39,0,29,0,Europe
France,La Ciotat,Good,1,31,7,25,1,Europe
United States of America,La Grange,Moderate,2,15,19,67,2,North America
United States of America,La Grange,Moderate,2,15,19,67,4,North America
United States of America,La Grange,Moderate,2,15,19,67,2,North America
Switzerland,Lausanne,Moderate,1,21,3,62,1,Europe
Zimbabwe,Marondera,Good,1,22,0,32,1,Africa
Cuba,Matanzas,Moderate,1,24,1,88,0,North America
Cuba,Matanzas,Moderate,1,24,1,88,0,North America
Germany,Merseburg,Moderate,1,35,3,64,2,Europe
Democratic Republic of the Congo,Mangai,Unhealthy,5,31,0,103,0,Africa
Zambia,Mansa,Good,1,21,0,41,6,Africa
Mexico,Pichucalco,Unhealthy,11,2,13,195,65,North America
Germany,Planegg,Moderate,1,39,3,66,1,Europe
Germany,Porta Westfalica,Moderate,2,36,6,70,2,Europe
Brazil,Porteirinha,Good,1,4,1,28,0,South America
Brazil,Porto Velho,Good,1,2,0,50,0,South America
Indonesia,Poso,Good,1,11,0,23,0,Asia
China,Zhanjiang,Moderate,2,53,2,64,8,Asia
Belgium,Zoersel,Good,1,28,6,46,3,Europe
Niger,Zinder,Unhealthy,2,33,1,117,1,Africa
India,Susner,Unhealthy,1,37,0,162,3,Asia
Namibia,Swakopmund,Unhealthy,1,22,0,204,1,Africa
Niger,Tahoua,Moderate,2,30,2,71,13,Africa
Mexico,Tamazunchale,Unhealthy,3,1,13,110,2,North America
Russian Federation,Tambov,Good,1,35,0,40,1,Europe
Mexico,Teapa,Unhealthy,7,3,11,171,6,North America
Mozambique,Tete,Moderate,1,21,0,54,1,Africa
India,Thiruvananthapuram,Moderate,1,28,0,65,4,Asia
United States of America,Tinton Falls,Good,1,29,9,47,3,North America
Turkey,Tire,Moderate,1,51,1,91,5,Asia
Mexico,Tixkokob,Unhealthy,1,21,1,123,1,North America
United Kingdom of Great Britain and Northern Ireland,West Bromwich,Good,1,32,3,22,1,Europe
United States of America,Wethersfield,Moderate,1,22,13,56,3,North America
Belgium,Wichelen,Moderate,1,33,5,60,10,Europe
Germany,Wiefelstede,Moderate,1,32,4,57,1,Europe
Netherlands,Willemstad,Unhealthy,0,22,0,121,0,Europe
United Kingdom of Great Britain and Northern Ireland,Winsford,Good,1,32,4,21,1,Europe
Netherlands,Winterswijk,Moderate,1,17,8,52,2,Europe
China,Yakeshi,Good,1,37,0,41,4,Asia
Japan,Fukuroi,Good,1,46,0,17,4,Asia
United States of America,Fulton,Moderate,1,19,7,51,3,North America
United States of America,Fulton,Moderate,1,19,7,51,1,North America
Georgia,Gardabani,Good,1,33,0,36,2,Asia
India,Gauripur,Good,2,38,0,50,1,Asia
Turkey,Silifke,Moderate,1,35,1,52,1,Asia
Netherlands,Sint Anthonis,Good,1,22,7,45,1,Europe
Netherlands,Slochteren,Good,1,32,2,35,1,Europe
India,Sardhana,Unhealthy,3,124,1,160,4,Asia
Russian Federation,Serov,Good,1,31,0,24,0,Europe
China,Longhua,Unhealthy,4,102,7,180,10,Asia
United States of America,Los Alamos,Moderate,1,14,7,57,2,North America
Switzerland,Lustenau,Moderate,1,25,3,54,1,Europe
Slovakia,Michalovce,Moderate,1,43,0,73,2,Europe
Russian Federation,Michurinsk,Good,1,36,0,35,1,Europe
Netherlands,Mierlo,Good,1,24,7,49,3,Europe
United States of America,Moberly,Moderate,2,27,8,54,1,North America
Norway,Molde,Good,1,28,0,13,0,Europe
Italy,Monteprandone,Moderate,1,44,2,54,1,Europe
Italy,Morbegno,Moderate,1,23,2,58,1,Europe
United States of America,Morganton,Moderate,3,18,15,71,0,North America
Pakistan,Nawabshah,Unhealthy,1,40,0,164,0,Asia
Russian Federation,Nefteyugansk,Good,2,28,0,49,0,Europe
Germany,Neustrelitz,Good,1,30,3,50,1,Europe
United States of America,New London,Good,1,25,10,42,2,North America
Russian Federation,Noginsk,Moderate,1,20,10,63,2,Europe
Russian Federation,Noginsk,Moderate,1,20,10,63,7,Europe
Bulgaria,Novi Iskar,Moderate,1,46,1,82,3,Europe
Russian Federation,Mozhaysk,Good,1,28,0,40,0,Europe
Brazil,Mundo Novo,Good,0,12,1,23,0,South America
Russian Federation,Nalchik,Good,1,43,1,42,1,Europe
India,Naliya,Unhealthy,0,25,0,146,1,Asia
Italy,Vigevano,Moderate,1,37,3,66,1,Europe
Russian Federation,Volgodonsk,Good,1,38,0,3,0,Europe
Serbia,Vrbas,Moderate,1,46,0,59,2,Europe
Belgium,Wavre,Moderate,1,30,6,57,4,Europe
Norge,Harstad,Good,1,28,0,8,1,Europe
Germany,Herborn,Good,1,25,3,49,1,Europe
United States of America,Hermiston,Good,1,24,6,33,0,North America
Germany,Heusweiler,Moderate,1,29,3,52,2,Europe
United States of America,High Point,Good,1,42,2,30,1,North America
United States of America,Saratoga,Good,1,35,6,37,3,North America
United States of America,Saugus,Moderate,2,20,14,63,1,North America
Japan,Sayama,Good,1,33,3,19,11,Asia
Russian Federation,Sayanogorsk,Good,1,36,0,40,1,Europe
Russian Federation,Semiluki,Good,1,28,2,32,1,Europe
Russian Federation,Shadrinsk,Good,1,34,0,18,0,Europe
United States of America,Shaker Heights,Good,2,39,4,27,3,North America
Russian Federation,Shakhty,Good,1,38,0,38,0,Europe
India,Sheopur,Unhealthy,1,41,0,254,2,Asia
Russian Federation,Shimanovsk,Good,1,35,0,25,1,Europe
Belarus,Slonim,Good,1,32,0,17,1,Europe
Brazil,Sombrio,Unhealthy,3,13,4,109,2,South America
